"Note: This sheet takes a couple seconds to filter because it is MASSIVE, 
so please be patient and don't change too many settings too quickly",,,,,CR,,Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboleth,Large,Aberration,,Lawful Neutral,10,,,x,x,,,,,,,,,,,,x,,,,Monster Manual,13,,,Auspicia Dran,Medium,Humanoid,Half-Elf,Neutral Good,2,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,208,,,Undead,Chaotic Neural,10,,,,,,
Aboleth Spawn,Medium,Aberration,,Lawful Evil,5,,,,,,,,,,,,,,,,,,,,Critical Role: Call of the Netherdeep,135,,,Chaos Quadrapod,Large,Aberration,,Chaotic Evil,4,,,,,,,,,,,,,,,,,,,x,Acquisitions Incorporated,209,,,,Chaotic Neutral,11,,,,,,
"Aboleth, Nihileth",Large,Undead,,Chaotic Evil,12,,,x,x,,,,,,,,,,,,ø,,,ø,Tome of Beasts 5e,8,,,Clockwork Dragon,Medium,Construct,,Neutral,1,,,,,,,,,,,,,,,,,,ø,,Acquisitions Incorporated,209,,,,Chaotic Neutral or Chaotic Evil,12,,,,,,
Abominable Beauty,Medium,Elemental,,Neutral Evil,11,,,,,,,,,,,,,,,,,,,ø,Tome of Beasts,11,,,Deep Crow,Large,Monstrosity,,Unaligned,9,,,,,,,,,,,,,,,,x,,,,Acquisitions Incorporated,210,,,,Lawful,13,,,,,,
Abominable Yeti,Huge,Monstrosity,,Chaotic Evil,9,,,,,,,,x,,,,,,,,,,,,Monster Manual,306,,,Ancient Deep Crow,Huge,Monstrosity,,Unaligned,15,,,x,,,,,,,,,,,,,x,,,,Acquisitions Incorporated,211,,,,Lawful Evil,14,,,,,,
Abyssal Custodian,Gargantuan,Aberration,,Chaotic Evil,20,,,x,,,,,,,,,,,,,,,,x,Sandy Petersen's Cthulhu Mythos,279,,,Keg Robot,Medium,Construct,,Unaligned,2,,,,,,,,,,,,,,,,,,ø,,Acquisitions Incorporated,212,,,,Lawful Good,15,,,,,,
Abyssal Wretch,Medium,Fiend,Demon,Chaotic Evil,1/4,,,,,,,,,,,,,,,,,,,ø,Mordenkainen's Tome of Foes,136,,,Splugoth the Returned,Small,Humanoid,Goblinoid,Neutral Evil,2,,,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,213,,,,lawful Good,16,,,,,,
Accursed Defiler,Medium,Undead,,Neutral Evil,4,,,,,,,,,,ø,,,,,,,,,,Tome of Beasts,12,,,Tiamat,Gargantuan,Fiend,,Chaotic Evil,30,,x,x,,x,,,,,,,,,,,,,,ø,Baldur's Gate: Descent into Avernus,151,Rise of Tiamat 92,,,Lawful Neutral,17,,,,,,
Acererak,Medium,Undead,,Neutral Evil,23,,x,x,,x,,,,,,,,,,,,,,,Tomb of Annihilation,209,,,Crockek'toeck,Gargantuan,Fiend,Demon,Chaotic Evil,14,,,,,,,,,,,,,,,,,,,ø,Baldur's Gate: Descent into Avernus,230,,,,Neurtral Evil,18,,,,,,
Achaeierai,Large,Monstrosity,,Lawful Evil,5,,,,,,,,,,,,,,,,ø,,,ø,Minsc and Boo's Journal of Villainy,131,,,Black Guantlet of Bane,Medium,Humanoid,Human,Lawful Evil,6,,x,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,232,,,,Neutal,19,,,,,,
Acid Ant,Small,Monstrosity,,Unaligned,1/4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,8,,,Fist of Bane,Medium,Humanoid,Human,Lawful Evil,1/2,,,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,232,,,,Neutral,20,,,,,,
Acolyte,Medium,Humanoid,Any Race,Any,1/4,,x,,,,,,,,,,,,,,,,x,,Monster Manual,342,,,Iron Consul,Medium,Humanoid,Human,Lawful Evil,2,,,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,232,,,,Neutral Evil,21,,,,,,
Adherer,Medium,Aberration,,Lawful Neutral,2,,x,,,,,,,,,x,,,,x,x,,,,Fifth Edition Foes,6,,,Death's Head of Bhaal,Medium,Humanoid,Human,Chaotic Evil,5,,,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,233,,,,Neutral Good,22,,,,,,
Adolescent Dark Young,Large,Aberration,,Chaotic Evil,5,,,,,,,,,,,,,x,,,,,,,Sandy Petersen's Cthulhu Mythos,293,,,Night Blade,Medium,Humanoid,Human,Chaotic Evil,1/4,,,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,233,,,,NeutralEvil,23,,,,,,
Adranach,Huge,Construct,,Not Provided,12,,,,,,,,,,,,,,,,,,ø,ø,Tal'Dorei Campaign Setting Reborn,224,,,Reaper of Bhaal,Medium,Humanoid,Human,Chaotic Evil,2,,x,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,233,,,,Not Provided,24,,,,,,
Adult Amethyst Dragon,Huge,Dragon,Gem,Neutral,16,,x,x,x,,,,,ø,,,ø,ø,ø,,,,,,Fizban's Treasury of Dragons,161,,,Master of Souls,Medium,Humanoid,Human,Neutral Evil,4,,x,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,234,,,,Unaligned,25,,,,,,
Adult Bhole,Gargantuan,Monstrosity,,Unaligned,18,,,,,,,,,,,,,,,,,,,,Sandy Petersen's Cthulhu Mythos,282,,,Necromite of Myrkul,Medium,Humanoid,Human,Neutral Evil,1/2,,,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,234,,,,,26,,,,,,
Adult Black Dragon,Huge,Dragon,,Chaotic Evil,14,,,x,x,,,,,,,,,,,x,,,,,Monster Manual,88,,,Skull Lasher of Myrkul,Medium,Humanoid,Human,Neutral Evil,1,,x,,,,,,,,,,,,,,,,x,ø,Baldur's Gate: Descent into Avernus,234,,,,,27,,,,,,
Adult Blue Dracolich,Huge,Undead,,Lawful Neutral,17,,,x,,,,x,,,,,,,,,,,,ø,Monster Manual,84,,,Fiendish Flesh Golem,Large,Construct,,Unaligned,8,,,,,,,,,,,,,,,,,,,x,Baldur's Gate: Descent into Avernus,236,,,,,28,,,,,,
Adult Blue Dragon,Huge,Dragon,,Lawful Neutral,16,,,x,x,,,,,x,x,,,,,,,,,,Monster Manual,91,Rise of Tiamat Online Supplement 5,,Hellwasp,Large,Fiend,,Lawful Evil,5,,,,,,,,,,,,,,,,,,,x,Baldur's Gate: Descent into Avernus,236,,,,,30,,,,,,
Adult Boreal Dragon,Huge,Dragon,,Chaotic Neutral,17,,,x,x,,,,x,,,x,,,,,,,,,Tome of Beasts 2,111,,,Hollyphant,Small,Celestial,,Lawful Good,5,,x,,,,,,,,,,,,,,,,,x,Baldur's Gate: Descent into Avernus,237,,,,,,,,,,,
Adult Brass Dragon,Huge,Dragon,,Chaotic Good,13,,,x,x,,,,,,x,,,,,,,,,,Monster Manual,105,,,Tressym,Tiny,Monstrosity,,Chaotic Neutral,0,,,,,,o,,,,,,,,,,,,,,Baldur's Gate: Descent into Avernus,241,"Infernal Machine Rebuild 89, Storm King's Thunder 242",,,,,,,,,,
Adult Bronze Dragon,Huge,Dragon,,Lawful Good,15,,,x,x,,,,,x,,,,,,,,,,,Monster Manual,108,,,Archduke Zariel of Avernus,Large,Fiend,Devil,Lawful Evil,26,,x,x,,x,,,,,,,,,,,,,,x,Baldur's Gate: Descent into Avernus,243,,,,,,,,,,,
Adult Cave Dragon,Huge,Dragon,,Neutral Evil,16,,x,x,x,,,,,,,,,,,,ø,,,,Tome of Beasts,125,,,Master Sage,Medium,Humanoid,Any Race,Not Provided,5,,x,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,9,,,,,,,,,,,
Adult Copper Dragon,Huge,Dragon,,Chaotic Good,14,,,x,x,,,,,,,,,x,,,,,,,Monster Manual,111,,,Sage,Medium,Humanoid,Any Race,Not Provided,1/2,,x,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,9,,,,,,,,,,,
Adult Crystal Dragon,Huge,Dragon,Gem,Chaotic Neutral,12,,x,x,x,,,,ø,,,,,,,,,,,,Fizban's Treasury of Dragons,171,,,Miirym,Large,Undead,,Not Provided,22,,x,x,,x,,,,,,,,,,,,,x,,Candlekeep Mysteries,16,,,,,,,,,,,
Adult Dark Young,Large,Aberration,,Chaotic Evil,10,,x,,,,,,,,,,,x,,,,,,,Sandy Petersen's Cthulhu Mythos,294,,,Swarm of Animated Books,Medium,Construct,Swarm,Not Provided,1/4,,,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,19,,,,,,,,,,,
Adult Deep Dragon,Huge,Dragon,,Neutral Evil,11,,,x,x,,,,,,,,,,,,ø,,,,Fizban's Treasury of Dragons,174,,,Animated Broom,Small,Construct,,Not Provided,1/4,,,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,20,,,,,,,,,,,
Adult Emerald Dragon,Huge,Dragon,Gem,Lawful Neutral,14,,x,x,x,,,,,,,,,,ø,,ø,,,,Fizban's Treasury of Dragons,196,,,Mimic Chair,Medium,Monstrosity,Shapechanger,Neutral,2,,,,,,,,,,,,,,,,x,,ø,,Candlekeep Mysteries,22,,,,,,,,,,,
Adult Faerie Dragon,Tiny,Dragon,,Chaotic Good,2,,x,,,,,,,,,x,,,,,,,,,Monster Manual,133,,,Animated Chained Library,Large,Construct,,Not Provided,1,,,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,24,,,,,,,,,,,
Adult Flame Dragon,Huge,Dragon,,Chaotic Evil,16,,,x,x,,,,,,,,,ø,ø,,,,,,Tome of Beasts,129,,,Gingwatzim,Small,Aberration,Shapechanger,Not Provided,2,,,,,,,,ø,ø,ø,ø,ø,ø,ø,ø,ø,,ø,,Candlekeep Mysteries,27,,,,,,,,,,,
Adult Gold Dragon,Huge,Dragon,,Lawful Good,17,,,x,x,,,,,,,x,x,,,,,,,,Monster Manual,114,,,Varnyr,Medium,Humanoid,Elf,Chaotic Good,1/8,,,,,x,,,,,,,,,,,,,x,,Candlekeep Mysteries,63,,,,,,,,,,,
Adult Green Dragon,Huge,Dragon,,Lawful Neutral,15,,,x,x,,,,,,,x,,,,,,,,,Monster Manual,94,Rise of Tiamat Online Supplement 5,,K'Tulah,Medium,Humanoid,Tabaxi,Neutral Good,2,,x,,,x,,,x,,,,,,,,,,,,Candlekeep Mysteries,64,,,,,,,,,,,
Adult Imperial Dragon,Huge,Dragon,,Neutral,20,,x,x,x,,,,,x,,,,,,,,x,,,Tome of Beasts 2,115,,,Shemshime,Medium,Undead,,Not Provided,4,,,,,x,,,,,,,,,,,,,ø,,Candlekeep Mysteries,69,,,,,,,,,,,
Adult Kruthik,Medium,Monstrosity,,Unaligned,2,,,,,,,,,,x,,,,x,,x,,,,Mordenkainen Presents: Monsters of the Multiverse,169,Mordenkainen's Tome of Foes 212,,Hag of the Fetid Gaze,Medium,Fey,,Neutral Evil,5,,x,,,,,,,,,,,,,,,,,,Candlekeep Mysteries,76,,,,,,,,,,,
Adult Light Dragon,Huge,Dragon,,Neutral Good,16,,,x,x,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,114,,,Grippli Warrior,Small,Humanoid,Grippli,Not Provided,1/4,,,,,,,,,,,ø,,,,ø,,,,,Candlekeep Mysteries,99,,,,,,,,,,,
Adult Lunar Dragon,Huge,Dragon,,Neutral Evil,13,,,x,x,,,,,,,,,,,,,,,,Boo's Astral Menagerie,34,Vecna: Eve of Ruin 225,,Faerl,Medium,Humanoid,Elf,Neutral Evil,1/8,,,,,x,,,,,,,,,,,,,,,Candlekeep Mysteries,104,,,,,,,,,,,
Adult Mithral Dragon,Huge,Dragon,,Neutral,14,,x,x,,,,,,,,,,,,,ø,,,,Tome of Beasts,133,,,Corrupted Avatar of Lurue,Large,Monstrosity,,Not Provided,8,,,,,,,,,,,ø,,,,,,,,ø,Candlekeep Mysteries,123,,,,,,,,,,,
Adult Moonstone Dragon,Huge,Dragon,,Neutral,15,,x,x,x,,,,,,,ø,ø,,ø,,,,,ø,Fizban's Treasury of Dragons,212,,,Lightning Golem,Medium,Construct,,Neutral,5,,,,,,,,,,,,,,,,,,,,Candlekeep Mysteries,129,,,,,,,,,,,
Adult Oblex,Medium,Ooze,,Lawful Evil,5,,x,,,,,,,,,,,,,x,x,,x,,Mordenkainen Presents: Monsters of the Multiverse,198,,,Ram Sugar,Medium,Humanoid,Dragonborn,Chaotic Neutral,2,,x,,,x,,,,,,,,,,,,,x,,Candlekeep Mysteries,132,,,,,,,,,,,
Adult Oblex,Medium,Ooze,Oblex,Lawful Neutral,5,,x,,,,,,,,,,,,,x,x,,x,,Mordenkainen's Tome of Foes,218,Infernal Machine Rebuild 59,,Kiddywidget,Small,Construct,,Not Provided,1/2,,,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,136,,,,,,,,,,,
Adult Phoenix,Large,Monstrosity,,Lawful Good,10,,x,,,,,,,,ø,,,,ø,,,,,,Monster a Day Compendium 2.0,162,,,Skitterwidget,Medium,Construct,,Not Provided,5,,,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,136,,,,,,,,,,,
Adult Red Dragon,Huge,Dragon,,Chaotic Evil,17,,,x,x,,,,,,,,,x,x,,,,,,Monster Manual,98,,,Zikran,Medium,Humanoid,Water Genasi,Neutral Evil,12,,x,,,x,,,,,,,,,,,,,x,,Candlekeep Mysteries,145,,,,,,,,,,,
Adult Rime Worm,Large,Elemental,,Neutral,6,,,,,,,,ø,,,,,,,,,,,,Tome of Beasts,327,,,Cloud Giant Ghost,Huge,Undead,,Not Provided,9,,x,,,,,,,,,,,,ø,,,,,,Candlekeep Mysteries,146,,,,,,,,,,,
Adult Sapphire Dragon,Huge,Dragon,Gem,Lawful Neutral,15,,x,x,x,,,,,,,,,,,,ø,,,,Fizban's Treasury of Dragons,215,,,Constructed Commoner,Medium,Construct,,Not Provided,0,,,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,149,,,,,,,,,,,
Adult Sea Dragon,Huge,Dragon,,Neutral Evil,16,,,x,x,,,,,,,,,,,,,ø,,,Tome of Beasts,135,,,Arrant Quill,Medium,Humanoid,Human,Neutral Evil,11,,x,,,x,,,,,,,,,,,,,ø,,Candlekeep Mysteries,156,,,,,,,,,,,
Adult Silver Dragon,Huge,Dragon,,Lawful Good,16,,,x,x,,,,,,,,,,x,,,,x,,Monster Manual,117,,,Steel Crane,Medium,Humanoid,Human,Lawful Evil,8,,,,,x,,,,,,,,,,,,,ø,,Candlekeep Mysteries,164,,,,,,,,,,,
Adult Solar Dragon,Huge,Dragon,,Neutral,14,,,x,x,,,,,,,,,,,,,,,,Boo's Astral Menagerie,52,,,Immortal Lotus Monk,Medium,Humanoid,,Not Provided,5,,,,,,,,,,,,,,,,,,ø,,Candlekeep Mysteries,165,,,,,,,,,,,
Adult Time Dragon,Huge,Dragon,,Neutral,18,,,x,x,,,,,,,,,,,,,,,x,Morte's Planar Parade,50,,,Jade Tigress,Medium,Humanoid,Human,Lawful Evil,8,,,,,x,,,,,,,,,,,,,ø,,Candlekeep Mysteries,166,,,,,,,,,,,
Adult Topaz Dragon,Huge,Dragon,Gem,Chaotic Neutral,13,,x,x,x,,,,,ø,,,,,,ø,,ø,,,Fizban's Treasury of Dragons,221,,,Bak Mei,Medium,Humanoid,Human,Lawful Evil,13,,,x,,x,,,,,,ø,,,,,,,ø,,Candlekeep Mysteries,168,,,,,,,,,,,
Adult Void Dragon,Huge,Dragon,,Chaotic Neutral,14,,,x,x,,,,,,,,,,,,,,,ø,Tome of Beasts,139,,,Canopic Golem,Large,Construct,,Not Provided,13,,,,,,,,,,ø,,,,,,,,,,Candlekeep Mysteries,179,,,,,,,,,,,
Adult Wasteland Dragon,Huge,Dragon,,Chaotic Evil,17,,,x,x,,,,,,,,,x,,,,,,,Creature Codex,119,,,Valin Sarnaster,Medium,Undead,,Lawful Evil,16,,x,x,x,x,,,,,x,,,,,,,,,,Candlekeep Mysteries,182,,,,,,,,,,,
Adult White Dragon,Huge,Dragon,,Chaotic Evil,13,,,x,x,,,,x,,,,,,,,,,,,Monster Manual,101,Rise of Tiamat Online Supplement 6,,Wood Elf Wizard,Medium,Humanoid,Elf,Neutral Evil,7,,x,,,,,,,,,ø,,,,,x,,,,Candlekeep Mysteries,187,,,,,,,,,,,
Adult Wind Dragon,Huge,Dragon,,Chaotic Neutral,17,,x,x,x,,,,,,,,,,ø,,,,,,Tome of Beasts,143,,,Nintra Siotta,Large,Fey,,Chaotic Evil,16,,x,x,x,x,,,,,,,,,,,,,,,Candlekeep Mysteries,197,,,,,,,,,,,
Aeorian Absorber,Large,Monstrosity,,Neutral Evil,10,,,,,,,,ø,,,,,,,,ø,,,ø,Explorer's Guide to Wildemount,283,,,Sapphire Sentinel,Large,Construct,,Unaligned,10,,,,,,,,,,,,,,,,,,,,Candlekeep Mysteries,201,,,,,,,,,,,
Aeorian Nullifier,Large,Monstrosity,,Neutral Evil,12,,x,,,,,,ø,,,,,,,,ø,,,ø,Explorer's Guide to Wildemount,283,,,Dragon Tortoise,Gargantuan,Dragon,,Neutral,17,,,,,x,,,,x,,,,,,,,ø,,,Candlekeep Mysteries,205,,,,,,,,,,,
Aeorian Reverser,Large,Monstrosity,,Neutral Evil,8,,,,,,,,ø,,,,,,,,ø,,,ø,Explorer's Guide to Wildemount,284,,,Storm Giant Skeleton,Huge,Undead,,Not Provided,16,,,,,,,,,ø,,,,,ø,,,ø,,,Candlekeep Mysteries,208,,,,,,,,,,,
Aerial Servant,Medium,Fiend,,Neutral,9,,,,,,,,,,x,,x,,x,,,,,,Fifth Edition Foes,7,,,Zikzokrishka,Huge,Undead,,Lawful Evil,17,,,x,x,x,,,,,x,,,,ø,,,,,,Candlekeep Mysteries,209,,,,,,,,,,,
Aerisi Kalinoth,Medium,Humanoid,Elf,Neutral Evil,7,,x,,,x,,,,,,,,,,,,,,,Princes of the Apocalypse,193,,,Fungal Servant,Medium,Undead,,Lawful Evil,15,,x,x,,,,,,,,,,,,,,,,,Candlekeep Mysteries,217,,,,,,,,,,,
Aerisi Kalinoth (with Lair Actions),Medium,Humanoid,Elf,Neutral Evil,9,,x,,x,x,,,,,,,,,,,,,,,Princes of the Apocalypse,193,,,Parasite Infested Behir,Huge,Undead,,Neutral Evil,11,,,,,,,,,,,,,,,,x,,,,Candlekeep Mysteries,220,,,,,,,,,,,
Aerosaur,Gargantuan,Monstrosity,,Unaligned,10,,,,,,,,,,,,,,,,,,,,Bigby Presents: Glory of the Giants,128,,,Lichen Lich,Medium,Undead,,Not Provided,18,,x,x,x,,,,ø,ø,ø,ø,ø,ø,ø,ø,,,,,Candlekeep Mysteries,223,,,,,,,,,,,
Agdon Longscarf,Medium,Fey,Harengon,Chaotic Evil,2,,,,,x,,,,,,,,,,,,,,,The Wild Beyond The Witchlight,73,,,Aatxe,Large,Celestial,Shapechanger,Lawful Good,5,,,x,x,,,,,,,,x,,,,,,x,,Creature Codex,7,,,,,,,,,,,
Agnibarra,Small,Monstrosity,,Chaotic Neutral,1,,,,,,,,,,,,,,x,,,,,,Creature Codex,9,,,Acid Ant,Small,Monstrosity,,Unaligned,1/4,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,Creature Codex,8,,,,,,,,,,,
Ahmaergo,Medium,Humanoid,Dwarf,Lawful Neutral,9,,,,,x,,,,,,,,,,,,,ø,,Waterdeep: Dragon Heist,193,,,Agnibarra,Small,Monstrosity,,Chaotic Neutral,1,,,,,,,,,,,,,,x,,,,,,Creature Codex,9,,,,,,,,,,,
Ahu-Nixta,Large,Aberration,,Neutral Evil,3,,x,,,,,,,,,,,,,,,,,x,Creature Codex,11,,,Ahuizotl,Small,Monstrosity,,Unaligned,2,,,,,,,,,x,,,,,,,,x,,,Creature Codex,10,,,,,,,,,,,
Ahu-Nixta Cataphract,Large,Aberration,,Neutral Evil,8,,x,,,,,,,,,,,,,,,,,x,Tome of Beasts 2,9,,,Ahu-Nixta,Large,Aberration,,Neutral Evil,3,,x,,,,,,,,,,,,,,,,,x,Creature Codex,11,,,,,,,,,,,
Ahu-Nixta Drudge,Medium,Aberration,,Neutral Evil,1/2,,x,,,,,,,,,,,,,,,,,x,Tome of Beasts 2,10,,,Alkonost,Small,Monstrosity,,Neutral,1/2,,,,,,v,,,x,,,,,x,,,,,,Creature Codex,12,,,,,,,,,,,
Ahuizotl,Small,Monstrosity,,Unaligned,2,,,,,,,,,x,,,,,,,,x,,,Creature Codex,10,,,Alliumite,Small,Plant,,Chaotic Neutral,1/4,,,,,,,,,,,,x,,,,,,,,Creature Codex,13,,,,,,,,,,,
Air Elemental,Large,Elemental,,Neutral,5,,,,,,,,,,x,,,,x,,,,,,Monster Manual,124,"Infernal Machine Rebuild 60, Rise of Tiamat Online Supplement 6",,Alp,Small,Fey,Shapechanger,Chaotic Evil,1,,x,,,,,,,,,,x,,,,,,,,Creature Codex,14,,,,,,,,,,,
Air Elemental Myrmidon,Medium,Elemental,,Neutral,7,,,,,,,,,,,,,,,,,,,,Mordenkainen Presents: Monsters of the Multiverse,122,,,Ammut,Large,Celestial,,Neutral,9,,,,,,,,,,x,,,x,,,,,,,Creature Codex,15,,,,,,,,,,,
Air Elemental Myrmidon,Medium,Elemental,,Neutral,7,,,,,,,,,,ø,,,,ø,,,,,,Mordenkainen's Tome of Foes,202,Princes of the Apocalypse 212,,Eye of the Gods,Small,Celestial,Angel,Any,1,,,,,,,,,,,,,,,,,,,x,Creature Codex,16,,,,,,,,,,,
